,handle,count,compound,positive,negative,neutral,date
157,FoxNews,58,0.8074,0.289,0.0,0.711,1520300269.0
442,CBSNews,43,-0.1197,0.144,0.167,0.689,1520300401.0
247,nytimes,48,0.4215,0.123,0.0,0.877,1520300454.0
441,CBSNews,42,0.6705,0.208,0.0,0.792,1520300475.0
156,FoxNews,57,0.0,0.0,0.0,1.0,1520300550.0
155,FoxNews,56,-0.2263,0.0,0.16,0.84,1520300615.0
440,CBSNews,41,0.0,0.0,0.0,1.0,1520300648.0
556,USATODAY,57,0.0,0.0,0.0,1.0,1520300705.0
246,nytimes,47,0.0,0.0,0.0,1.0,1520300707.0
154,FoxNews,55,0.6486,0.27,0.0,0.73,1520300727.0
325,BreitbartNews,26,0.6369,0.279,0.0,0.721,1520300755.0
153,FoxNews,54,0.4576,0.3,0.0,0.7,1520300853.0
439,CBSNews,40,-0.5849,0.0,0.153,0.847,1520300864.0
152,FoxNews,53,0.8225,0.297,0.0,0.703,1520300971.0
245,nytimes,46,-0.8658,0.0,0.409,0.591,1520301124.0
151,FoxNews,52,-0.0191,0.0,0.133,0.867,1520301147.0
150,FoxNews,51,0.0,0.0,0.0,1.0,1520301321.0
438,CBSNews,39,-0.8689,0.0,0.43,0.57,1520301603.0
244,nytimes,45,0.0,0.0,0.0,1.0,1520301604.0
149,FoxNews,50,0.4926,0.313,0.0,0.687,1520301777.0
324,BreitbartNews,25,0.0,0.0,0.0,1.0,1520301782.0
243,nytimes,44,0.4767,0.147,0.0,0.853,1520302030.0
148,FoxNews,49,-0.7351,0.0,0.307,0.693,1520302046.0
555,USATODAY,56,0.7506,0.274,0.0,0.726,1520302202.0
554,USATODAY,55,0.0,0.0,0.0,1.0,1520302299.0
553,USATODAY,54,0.4019,0.124,0.0,0.876,1520302305.0
552,USATODAY,53,-0.3818,0.0,0.102,0.898,1520302314.0
551,USATODAY,52,0.0,0.0,0.0,1.0,1520302320.0
550,USATODAY,51,0.6124,0.167,0.0,0.833,1520302326.0
549,USATODAY,50,-0.7783,0.0,0.312,0.688,1520302376.0
147,FoxNews,48,0.2344,0.142,0.095,0.763,1520302436.0
437,CBSNews,38,-0.8176,0.0,0.333,0.667,1520302502.0
242,nytimes,43,0.0,0.0,0.0,1.0,1520302518.0
323,BreitbartNews,24,0.0,0.0,0.0,1.0,1520302879.0
548,USATODAY,49,-0.5574,0.0,0.295,0.705,1520302881.0
146,FoxNews,47,0.0,0.0,0.0,1.0,1520303328.0
241,nytimes,42,0.0,0.0,0.0,1.0,1520303430.0
436,CBSNews,37,0.3182,0.108,0.0,0.892,1520303496.0
547,USATODAY,48,0.4019,0.119,0.0,0.881,1520303776.0
1,BBC,2,-0.8555,0.0,0.408,0.592,1520303884.0
145,FoxNews,46,0.6705,0.234,0.0,0.766,1520303938.0
322,BreitbartNews,23,0.0,0.0,0.0,1.0,1520303977.0
144,FoxNews,45,0.0772,0.061,0.0,0.939,1520304046.0
546,USATODAY,47,0.5423,0.189,0.0,0.811,1520304067.0
240,nytimes,41,0.6361,0.259,0.102,0.639,1520304312.0
545,USATODAY,46,0.0,0.0,0.0,1.0,1520304694.0
239,nytimes,40,-0.7184,0.0,0.261,0.739,1520304725.0
544,USATODAY,45,0.6369,0.231,0.0,0.769,1520304732.0
